id,name,slug,region,lat,lng,tideStationId,tideId,tideDistNm,nearestTide,nearestTideNm,currentStationId,curDistNm,resolution,flag
c7dc94b8-3758-4a22-8981-b21294de2ccd,Pollock Rip Channel,monomoy-shoals-pollock-rip-channel,Monomoy,41.5544,-69.9265,Boston HW/LW (8443970),8443970,69.4,"Barnstable Harbor, Beach Point (8447335)",19.0,ACT1626,4.3,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
c8c38d30-5abc-4914-8729-eb641eaa9c7f,Elizabeth Islands: Jigging Shallow Groundfish,elizabeth-islands-elizabeth-islands-jigging-shallow-groundfish,Elizabeth Islands,41.4513,-70.7762,Boston HW/LW (8443970),8443970,55.6,PENIKESE ISLAND (8448248),6.5,ACT1841,2.6,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
c8e13e24-e331-49a7-b10e-4c25ec88475c,Horseshoe Shoal: Casting The Drift Zone,nantucket-sound-horseshoe-shoal-casting-the-drift-zone,,41.5018,-70.3992,Boston HW/LW (8443970),8443970,58.8,"Barnstable Harbor, Beach Point (8447335)",14.2,ACT1736,5.9,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
c9c47c4a-2570-4a5b-ad75-0e335ab0fae9,Halfway / L'Hommedieu: Trolling The Rip Loop,nantucket-sound-halfway-l-hommedieu-trolling-the-rip-loop,,41.5082,-70.5861,Boston HW/LW (8443970),8443970,54.8,Buzzards Bay (8447270),14.1,ACT1806,2.2,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
ca384316-8b38-49ef-bcc1-bc91b3f4b29e,Handkerchief Shoal,monomoy-shoals-handkerchief-shoal,Monomoy,41.5313,-70.0309,Boston HW/LW (8443970),8443970,67.2,"Barnstable Harbor, Beach Point (8447335)",16.1,ACT1626,1.2,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
cb977f14-6470-4766-9fd8-56dcb612c326,Pollock Rip,monomoy-shoals-pollock-rip,Monomoy,41.554,-69.8937,Boston HW/LW (8443970),8443970,70.5,"Barnstable Harbor, Beach Point (8447335)",20.2,ACT1626,5.8,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
cd5cbef3-6640-417c-847a-d3434d125a05,Tom's Shoal,nantucket-sound-tom-s-shoal,,41.3679,-70.4411,Boston HW/LW (8443970),8443970,65.2,PENIKESE ISLAND (8448248),22.2,,,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
d01b12a7-25a9-40ba-a756-2995ac6c2321,Lucas Shoal: Casting Rip Lanes,vineyard-sound-lucas-shoal-casting-rip-lanes,,41.4396,-70.8339,Boston HW/LW (8443970),8443970,55.7,PENIKESE ISLAND (8448248),4.0,ACT1836,7.8,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
d0e87d47-e469-4f24-8c09-45a3858f346c,Billingsgate Shoal: Deep Ledge Jigging,cape-cod-bay-billingsgate-shoal-deep-ledge-jigging,,41.8421,-70.1268,Barnstable HW/LW (8447335),8447335,10.1,"Barnstable Harbor, Beach Point (8447335)",10.1,ACT1546,9.5,SERVABLE-EXPLICIT,
d1b1b264-0f22-4844-83e6-2df83a9f421e,Squibnocket: Southern Humps Jigging,vineyard-sound-squibnocket-southern-humps-jigging,,41.2902,-70.7669,Boston HW/LW (8443970),8443970,65.1,PENIKESE ISLAND (8448248),11.9,ACT1836,11.6,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
